Ezeri	ne tikai	zilie
Latvija	eksistē	daudz religijas
svetki	daļa no tiem ir	Martiņa dienas
Latvija	mūsu	dzimtene
Līgo	dzer alu	svaigā gaisā
mani vecāki	veido	Ģimenes
dzimtene	atrodas	mani vecāki
Latvija	eksistē	vara
Edieni	zaudēti	konfekti Laima
vara	attiecas uz	valdība
daudz religijas	atzimē	Ziemassvetki
Latvija	prasa daudz naudu	karavīri
Es	veido	Ģimenes
svetki	atzimē	Ziemassvetki
koki	parsvāra	egles
koki	parsvāra	bērzi
daudz religijas	pieder pie	Pareizticigie
koki	parsvāra	priedes
Latvija	ir pietiekoši	dzintari
Ģimenes	atzimē	Lieldienas
Latvija	ir netīra	jūra
Latvija	ir dārga	Edieni
Ģimenes	atzimē	Ziemassvetki
Latvija	saistīta ar	folklors
Latvija	saistīta ar	amatnieki
daudz religijas	pieder pie	Katoļi
Mazbērni	veido	Ģimenes
daudz religijas	atzimē	Lieldienas
jūra	atrod	dzintari
svetki	daļa no tiem ir	Līgo
vara	attiecas uz	Saema
valsts valoda	vienīga ir	Latviešu valoda
svetki	atzimē	Lieldienas
Latvija	prasa daudz naudu	zemessargi
rupniecība	nav	Latvija
Mēži	audzīna	koki
daudz religijas	pieder pie	Luterāni
Edieni	zaudēti	šproti
svetki	daļa no tiem ir	Lačplešu diena
Latvija	prasa daudz naudu	robežsargi
Latvija	ir pietiekoši	Mēži
Latvija	eksistē	svetki
Latvija	eksistē	valsts valoda
Edieni	zaudēti	Rīgas balzams
Ģimenes	pavadā laiku kopā	svetki
Bērni	veido	Ģimenes
svetki	daļa no tiem ir	dziesmu svētki
Latvija	ir pietiekoši	Ezeri
