metode,fails1,fails2,sakritibas_procents,konceptu_sakritiba,frazu_sakritiba,klasifikacija,n_vertiba,loga_izmers,stopvardu_skaits,konceptu_svars,frazu_svars
Simbolu N-Gramas,9_citsAttels,9_ORIGINAL,1.0000,1.0000,1.0000,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_citsAttels,9_pilnaKopija,1.0000,1.0000,1.0000,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_ORIGINAL,9_pilnaKopija,1.0000,1.0000,1.0000,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_citsAttels,9_frazuNomaina,0.9988,0.9988,0.8587,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_frazuNomaina,9_ORIGINAL,0.9988,0.9988,0.8587,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_frazuNomaina,9_pilnaKopija,0.9988,0.9988,0.8587,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_citsAttels,9_struktura,0.9965,0.9965,0.6426,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_ORIGINAL,9_struktura,0.9965,0.9965,0.6426,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_pilnaKopija,9_struktura,0.9965,0.9965,0.6426,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_frazuNomaina,9_struktura,0.9954,0.9954,0.6170,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_citsAttels,9_troksni,0.9401,0.9401,0.9216,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_ORIGINAL,9_troksni,0.9401,0.9401,0.9216,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_pilnaKopija,9_troksni,0.9401,0.9401,0.9216,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_struktura,9_troksni,0.9397,0.9397,0.5716,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,9_frazuNomaina,9_troksni,0.9394,0.9394,0.8278,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,1,7,0.8665,0.8665,0.7221,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,3,0.8334,0.8334,0.7343,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,9_citsAttels,0.8321,0.8321,0.6827,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,9_ORIGINAL,0.8321,0.8321,0.6827,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,9_pilnaKopija,0.8321,0.8321,0.6827,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,9_frazuNomaina,0.8310,0.8310,0.6737,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,7,9_troksni,0.8296,0.8296,0.7423,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,9_citsAttels,0.8263,0.8263,0.7470,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,9_ORIGINAL,0.8263,0.8263,0.7470,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,9_pilnaKopija,0.8263,0.8263,0.7470,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,2,9_struktura,0.8247,0.8247,0.6183,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,9_frazuNomaina,0.8232,0.8232,0.7198,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,9_struktura,0.8216,0.8216,0.7341,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,3,4,0.8183,0.8183,0.7983,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,4,9_frazuNomaina,0.8164,0.8164,0.7401,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,4,9_citsAttels,0.8159,0.8159,0.7649,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,4,9_ORIGINAL,0.8159,0.8159,0.7649,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,4,9_pilnaKopija,0.8159,0.8159,0.7649,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,4,9_struktura,0.8156,0.8156,0.7052,1,2,0,0,1.0000,0.0000
Simbolu N-Gramas,1,3,0.8140,0.8140,0.8041,1,2,0,0,1.0000,0.0000
