"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.8427,0.7745,0.9109,1,2,0,10,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.8243,0.7261,0.9225,1,2,0,5,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.8211,0.713,0.9293,1,2,0,0,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.6746,0.5981,0.7511,0,3,0,10,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.6182,0.4687,0.7677,0,3,0,0,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.6156,0.4651,0.7662,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.5013,0.4861,0.5165,0,5,0,10,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.4458,0.3626,0.529,0,5,0,5,0.5,0.5
"Simbolu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.3741,0.2354,0.5128,0,5,0,0,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.2907,0.2799,0.3015,0,2,0,10,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.2622,0.1873,0.337,0,2,0,5,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.2207,0.0824,0.3591,0,2,0,0,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.1676,0.119,0.2163,0,3,0,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.1641,0.1562,0.1719,0,2,2,0,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.1508,0.1405,0.1612,0,3,0,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.1382,0.1364,0.14,0,2,3,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.135,0.1569,0.1132,0,2,2,10,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.1284,0.067,0.1897,0,3,0,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.1186,0.0968,0.1404,0,2,2,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.1089,0.1429,0.075,0,2,3,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0985,0.16,0.037,0,2,5,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0981,0.0851,0.1111,0,2,3,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0771,0.0481,0.1061,0,3,2,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.077,0.0519,0.102,0,3,3,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0696,0.1034,0.0357,0,2,5,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0667,0.0606,0.0727,0,3,2,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0619,0.0667,0.0571,0,2,5,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0609,0.037,0.0847,0,3,2,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0578,0.0517,0.0638,0,3,3,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0563,0.0444,0.0682,0,3,3,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0549,0.0357,0.0741,0,3,5,10,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.0524,0.0112,0.0935,0,5,0,0,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.044,0,0.088,0,5,0,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0429,0.05,0.0357,0,3,5,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0423,0.0179,0.0667,0,3,5,0,0.5,0.5
"Vardu N-Gramas","9_50uz50_Nomaina","9_ORIGINAL",0.0362,0,0.0724,0,5,0,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.02,0,0.04,0,5,3,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0185,0,0.037,0,5,5,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0169,0,0.0339,0,5,2,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0167,0,0.0333,0,5,5,5,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0156,0,0.0312,0,5,5,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0154,0,0.0308,0,5,2,0,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0122,0,0.0244,0,5,3,10,0.5,0.5
"Hesa metode","9_50uz50_Nomaina","9_ORIGINAL",0.0106,0,0.0213,0,5,3,5,0.5,0.5
