"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.9907,0.9907,0.3118,1,5,0,0,1,0
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.6513,0.9907,0.3118,0,5,0,0,0.5,0.5
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.3118,0.9907,0.3118,0,5,0,0,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.069,0.9851,0.069,0,2,0,0,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.527,0.9851,0.069,0,2,0,0,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.9851,0.9851,0.069,1,2,0,0,1,0
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.3121,0.9789,0.3121,0,5,0,5,0,1
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.6455,0.9789,0.3121,0,5,0,5,0.5,0.5
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.9789,0.9789,0.3121,1,5,0,5,1,0
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.6464,0.973,0.3198,0,5,0,10,0.5,0.5
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.3198,0.973,0.3198,0,5,0,10,0,1
"Simbolu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.973,0.973,0.3198,1,5,0,10,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.9362,0.9362,0.0793,1,2,0,5,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.5078,0.9362,0.0793,0,2,0,5,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.0793,0.9362,0.0793,0,2,0,5,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.4992,0.9131,0.0853,0,2,0,10,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.0853,0.9131,0.0853,0,2,0,10,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.9131,0.9131,0.0853,1,2,0,10,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.457,0.8958,0.0182,0,3,0,0,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.0182,0.8958,0.0182,0,3,0,0,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.8958,0.8958,0.0182,1,3,0,0,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.0211,0.8281,0.0211,0,3,0,5,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.8281,0.8281,0.0211,1,3,0,5,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.4246,0.8281,0.0211,0,3,0,5,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.4215,0.814,0.029,0,2,2,0,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.814,0.814,0.029,1,2,2,0,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.029,0.814,0.029,0,2,2,0,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.807,0.807,0.0228,1,3,0,10,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.4149,0.807,0.0228,0,3,0,10,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.0228,0.807,0.0228,0,3,0,10,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0263,0.7917,0.0263,0,2,5,0,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.409,0.7917,0.0263,0,2,5,0,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7917,0.7917,0.0263,0,2,5,0,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.4126,0.7895,0.0357,0,2,5,10,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7895,0.7895,0.0357,0,2,5,10,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0357,0.7895,0.0357,0,2,5,10,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0189,0.7812,0.0189,0,2,3,0,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7812,0.7812,0.0189,0,2,3,0,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.4001,0.7812,0.0189,0,2,3,0,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.3895,0.7791,0,0,5,0,0,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0,0.7791,0,0,5,0,0,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.7791,0.7791,0,0,5,0,0,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7667,0.7667,0,0,3,5,0,1,0
