"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.6028,0.2057,1,0,3,0,10,0.5,0.5
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5869,0.1738,1,0,3,0,0,0.5,0.5
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5863,0.1726,1,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5306,0.0611,1,0,5,0,10,0.5,0.5
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5243,0.0486,1,0,5,0,5,0.5,0.5
"Simbolu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5218,0.0436,1,0,5,0,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,2,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,3,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,2,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,2,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,3,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,5,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,2,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,3,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,3,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,3,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,2,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,3,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,2,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,5,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,5,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,5,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,5,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,5,10,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,0,0,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,0,0,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,0,5,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,0,5,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,0,10,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,5,0,10,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,0,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,2,0,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,0,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,2,5,0.5,0.5
"Vardu N-Gramas","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,3,0,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,3,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,5,0,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,3,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,3,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,2,10,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,5,5,0.5,0.5
"Hesa metode","9_konceptuNomaina","9_ORIGINAL",0.5,0,1,0,2,5,10,0.5,0.5
