"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Vardu N-Gramas","1","9_struktura",0.4276,0.6988,0.1564,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","7",0.4145,0.7189,0.1101,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_troksni",0.3921,0.707,0.0772,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","7",0.3899,0.5852,0.1946,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_frazuNomaina",0.3861,0.6971,0.0752,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","9_troksni",0.38,0.6989,0.0611,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","4",0.3784,0.5986,0.1581,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","9_citsAttels",0.3782,0.6957,0.0606,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","9_ORIGINAL",0.3782,0.6957,0.0606,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","9_pilnaKopija",0.3782,0.6957,0.0606,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_citsAttels",0.3772,0.6971,0.0574,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_ORIGINAL",0.3772,0.6971,0.0574,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_pilnaKopija",0.3772,0.6971,0.0574,0,2,0,0,0.5,0.5
"Vardu N-Gramas","7","9_struktura",0.3687,0.6971,0.0404,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","9_frazuNomaina",0.3479,0.6957,0,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_troksni",0.3414,0.5719,0.1109,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","7",0.3392,0.5647,0.1137,0,2,0,0,0.5,0.5
"Vardu N-Gramas","1","3",0.3337,0.5672,0.1001,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_frazuNomaina",0.3306,0.5668,0.0945,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_struktura",0.3286,0.5702,0.087,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_citsAttels",0.3109,0.5668,0.0549,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_ORIGINAL",0.3109,0.5668,0.0549,0,2,0,0,0.5,0.5
"Vardu N-Gramas","4","9_pilnaKopija",0.3109,0.5668,0.0549,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_troksni",0.2863,0.555,0.0175,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_frazuNomaina",0.2817,0.5464,0.0171,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_struktura",0.2775,0.5428,0.0122,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_citsAttels",0.2732,0.5464,0,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_ORIGINAL",0.2732,0.5464,0,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","9_pilnaKopija",0.2732,0.5464,0,0,2,0,0,0.5,0.5
"Vardu N-Gramas","3","4",0.2698,0.458,0.0817,0,2,0,0,0.5,0.5
"Simbolu N-Gramas","4","5",0.4527,0.3846,0.5207,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","1","4",0.439,0.3564,0.5215,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","1","5",0.4375,0.3901,0.4849,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","4","9_frazuNomaina",0.4213,0.36,0.4827,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","4","6",0.4045,0.236,0.5729,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","4","9_troksni",0.4039,0.3031,0.5047,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","3","4",0.4033,0.3026,0.504,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","1","2",0.4022,0.3213,0.4832,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","2","4",0.4017,0.3628,0.4406,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","1","6",0.3969,0.3311,0.4627,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","2","5",0.3931,0.3959,0.3903,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","4","9_citsAttels",0.3895,0.3668,0.4122,0,3,0,5,0.5,0.5
"Simbolu N-Gramas","4","9_ORIGINAL",0.3895,0.3668,0.4122,0,3,0,5,0.5,0.5
