metode,fails1,fails2,lidzibas_procents,konceptu_lidziba,frazu_lidziba,klasifikacija,n_vertiba,loga_izmers,stopvardu_skaits,konceptu_svars,frazu_svars
Heša metode,9_citsAttels,9_ORIGINAL,1.0000,1.0000,1.0000,1,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_pilnaKopija,1.0000,1.0000,1.0000,1,1,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_pilnaKopija,1.0000,1.0000,1.0000,1,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_frazuNomaina,0.5792,0.9583,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_ORIGINAL,0.5792,0.9583,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_pilnaKopija,0.5792,0.9583,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_konceptuNomaina,0.5000,0.0000,1.0000,0,1,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_ORIGINAL,0.5000,0.0000,1.0000,0,1,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_pilnaKopija,0.5000,0.0000,1.0000,0,1,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_struktura,0.4840,0.8846,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_struktura,0.4685,0.8462,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_struktura,0.4685,0.8462,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_struktura,0.4685,0.8462,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_troksni,0.4063,0.1351,0.6774,0,1,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_troksni,0.4063,0.1351,0.6774,0,1,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_troksni,0.4063,0.1351,0.6774,0,1,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_troksni,0.3387,0.0000,0.6774,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_citsAttels,0.3322,0.3548,0.3095,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_ORIGINAL,0.3322,0.3548,0.3095,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_pilnaKopija,0.3322,0.3548,0.3095,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_frazuNomaina,0.2619,0.3438,0.1800,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_troksni,0.2380,0.0857,0.3902,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_struktura,0.2109,0.2941,0.1277,0,1,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_konceptuNomaina,0.1792,0.0488,0.3095,0,1,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_troksni,0.1615,0.1316,0.1915,0,1,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_konceptuNomaina,0.1000,0.0000,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,9_struktura,9_troksni,0.0960,0.1282,0.0638,0,1,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_struktura,0.0455,0.0000,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_ORIGINAL,1.0000,1.0000,1.0000,1,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_pilnaKopija,1.0000,1.0000,1.0000,1,2,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_pilnaKopija,1.0000,1.0000,1.0000,1,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_konceptuNomaina,0.5000,0.0000,1.0000,0,2,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_ORIGINAL,0.5000,0.0000,1.0000,0,2,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_pilnaKopija,0.5000,0.0000,1.0000,0,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_frazuNomaina,0.4215,0.8140,0.0290,0,2,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_ORIGINAL,0.4215,0.8140,0.0290,0,2,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_pilnaKopija,0.4215,0.8140,0.0290,0,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_troksni,0.2279,0.0135,0.4423,0,2,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_troksni,0.2279,0.0135,0.4423,0,2,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_troksni,0.2279,0.0135,0.4423,0,2,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_troksni,0.2212,0.0000,0.4423,0,2,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_struktura,0.2017,0.3898,0.0135,0,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_struktura,0.1680,0.3226,0.0133,0,2,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_struktura,0.1680,0.3226,0.0133,0,2,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_struktura,0.1680,0.3226,0.0133,0,2,2,0,0.5000,0.5000
